# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,Infinity,0.0,0.0,0.0
 0.21837551241434924,0.011921966105557402,0.05459387810358732,0.25000000000000006,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3078226697911359,0.02368869900933568,0.1315495455513713,0.8603478266348519,0.0,0.0,Infinity,0.0,0.0,0.0
 0.3757736052039594,0.0353014505919953,0.17089906874877395,0.5790872922990951,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4324880240385599,0.04676147273419451,0.20206540731062997,0.549531128102506,0.0,0.0,Infinity,0.0,0.0,0.0
 0.4819544265450555,0.058070017316593336,0.2286106126459038,0.5366310058991675,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5262255646387841,0.0692283362198518,0.2520449977959599,0.5293377617815473,0.0,0.0,Infinity,0.0,0.0,0.0
 0.5665251320978747,0.0802376813246286,0.2731876741841647,0.5246377993924476,0.0,0.0,Infinity,0.0,0.0,0.0
 0.603653226651142,0.09109930451158377,0.2925445896872545,0.5213549398641686,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6381675568731974,0.10181445766137642,0.3104551958810847,0.518932457289435,0.0,0.0,Infinity,0.0,0.0,0.0
 0.6704756301452471,0.1123843926546666,0.3271607967546117,0.517072025089755,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7008861858308049,0.12281036137211343,0.34284045399401325,0.5155991689703977,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7296399542085836,0.13309361569437606,0.35763153500984723,0.5144049580389851,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7569290785856093,0.14323540750211494,0.3716422581985486,0.5134178361727434,0.0,0.0,Infinity,0.0,0.0,0.0
 0.7829099275804038,0.15323698867598834,0.3849597515415034,0.5125888436372147,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8077118572774752,0.16309961109665716,0.39765544621446913,0.5118833424668896,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8314433874769347,0.1728245266447801,0.40978881118860283,0.5112761323081493,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8541966686917393,0.18241298720101629,0.42141001404216777,0.5107484386033748,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8760507853909525,0.1918662446460262,0.4325618635206721,0.510285985564716,0.0,0.0,Infinity,0.0,0.0,0.0
 0.8970742463374343,0.20118555086046896,0.4432812579320976,0.509877723687515,0.0,0.0,Infinity,0.0,0.0,0.0
 0.917326894242186,0.21037215772500373,0.4536002851449045,0.5095149662077428,0.0,0.0,Infinity,0.0,0.0,0.0
 0.9368613923527652,0.2194273171202905,0.4635470716487382,0.5091907889072854,0.0,0.0,Infinity,0.0,0.0,0.0
 0.9557243973593819,0.22835228092698845,0.473146447428037,0.5088996040626405,0.0,0.0,Infinity,0.0,0.0,0.0
 0.9739574960454015,0.23714830102575712,0.48242047335119675,0.508636852290536,0.0,0.0,Infinity,0.0,0.0,0.0
 0.991597961468772,0.24581662929725612,0.4913888643785435,0.5083987758886012,0.0,0.0,Infinity,0.0,0.0,0.0
 1.0086793695166862,0.254358517622145,0.5000693327463664,0.5081822495823392,0.0,0.0,Infinity,0.0,0.0,0.0
 1.025232106171247,0.26277521788108293,0.5084778689219862,0.5079846523929893,0.0,0.0,Infinity,0.0,0.0,0.0
 1.0412837883204171,0.2710679819547299,0.5166289736229139,0.507803769422955,0.0,0.0,Infinity,0.0,0.0,0.0
 1.0568596155095442,0.27923806172374555,0.5245358509574924,0.507637715709764,0.0,0.0,Infinity,0.0,0.0,0.0
 1.0719826660329697,0.2872867090687885,0.5322105703856302,0.5074848765630812,0.0,0.0,Infinity,0.0,0.0,0.0
 1.0866741477931987,0.2952151758705188,0.5396642034565412,0.5073438603782299,0.0,0.0,Infinity,0.0,0.0,0.0
 1.1009536121192316,0.3030247140095961,0.5469069399781117,0.5072134609675973,0.0,0.0,Infinity,0.0,0.0,0.0
 1.1148391370357962,0.31071657536667985,0.5539481872887536,0.5070926272468209,0.0,0.0,Infinity,0.0,0.0,0.0
 1.128347485170112,0.3182920118224293,0.5607966555514801,0.5069804386614053,0.0,0.0,Infinity,0.0,0.0,0.0
 1.1414942404716797,0.3257522752575044,0.5674604314104447,0.50687608509531,0.0,0.0,Infinity,0.0,0.0,0.0
 1.154293927130458,0.33309861755256387,0.5739470419005305,0.5067788503742128,0.0,0.0,Infinity,0.0,0.0,0.0
 1.1667601134565204,0.3403322905882682,0.580263510146743,0.5066880985893046,0.0,0.0,Infinity,0.0,0.0,0.0
 1.1789055029904236,0.34745454624527605,0.5864164041117382,0.506603262729426,0.0,0.0,Infinity,0.0,0.0,0.0
 1.190742014718969,0.35446663640424747,0.5924118794273535,0.5065238351563005,0.0,0.0,Infinity,0.0,0.0,0.0
 1.2022808539535867,0.3613698129458416,0.598255717168135,0.5064493595897642,0.0,0.0,Infinity,0.0,0.0,0.0
 1.213532575171707,0.36816532775071886,0.6039533572813287,0.5063794243335874,0.0,0.0,Infinity,0.0,0.0,0.0
 1.2245071379122898,0.3748544326995371,0.6095099282710011,0.5063136564999344,0.0,0.0,Infinity,0.0,0.0,0.0
 1.2352139566454987,0.38143837967295724,0.6149302736394497,0.5062517171077662,0.0,0.0,Infinity,0.0,0.0,0.0
