# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-0.0004563350315098403,0.0,0.0013610014708688206,734.7530633906159,0.0,0.0
 0.2180842072876967,0.011890180367075766,0.054521051821924175,0.25,-0.0004563350315098403,0.0,0.0013610014708688206,734.7530633906159,0.0,0.0
 0.30700027985701966,0.0235622929580721,0.1312711217861791,0.8631743142323018,-0.0013750259662181756,0.0,0.0013934934371197826,717.6208896016792,-0.010332113285728884,-0.1162007383723961
 0.3742656543535053,0.03501869500716437,0.17031648355263118,0.5804674702062657,-0.002298332450992048,0.0,0.0014264446153090138,701.0436923156444,-0.013726326385384383,-0.050460034231026796
 0.4301708672069941,0.04626174374840434,0.20110913039012493,0.5508009945010361,-0.0032259394086856037,0.0,0.0014598230102923191,685.0145483045627,-0.016592494873859828,-0.051268358390600025
 0.47872245159681304,0.05729379641571576,0.227223329700952,0.537865028279141,-0.004157501722297467,0.0,0.0014935623074296181,669.5401959634171,-0.019187063106579236,-0.05343941429156488
 0.5219854796558647,0.06811721024289082,0.25017698281316975,0.5305604841364145,-0.005092642082015109,0.0,0.0015276224031909693,654.6120284117025,-0.02161523133427522,-0.056125711413026094
 0.5611928098740627,0.07873434246358652,0.27079457238248217,0.5258605840941144,-0.00603094853323619,0.0,0.0015619258494200168,640.235258524805,-0.023931913904853625,-0.05908799598660564
 0.5971517405528378,0.08914755031132099,0.2895861376067257,0.5225840943967592,-0.006971972040619892,0.0,0.001596406761862994,626.4067679298777,-0.02616939629795903,-0.06222327390914566
 0.6304258593029655,0.09935919101947066,0.3068943999639509,0.5201719236263415,-0.007915223710114131,0.0,0.0016309724836009456,613.1311288539633,-0.028347908372197556,-0.06547166855411213
 0.6614276130349072,0.1093716218212638,0.3229633680844686,0.5183244876873389,-0.008860171885541685,0.0,0.0016655246072697107,600.411423304815,-0.030480474865973682,-0.0687885760339714
 0.6904699847199132,0.11918719994977936,0.3379743994387053,0.5168665809062192,-0.00980623908682015,0.0,0.0016999408462990229,588.2557632385392,-0.03257541124876174,-0.07213379146544124
 0.7177974160943852,0.12880828263794408,0.3520668502035752,0.5156888172824914,-0.010752798601323315,0.0,0.001734098828689546,576.668401740227,-0.03463770529810553,-0.07546607733027859
 0.7436053445706862,0.13823722711852235,0.36535069016626887,0.5147193419608246,-0.011699170997891459,0.0,0.0017678482833729046,565.6594004164683,-0.036669831809135085,-0.07874039611104887
 0.7680530987480517,0.14747639062412124,0.37791461082968425,0.5139089902600309,-0.012644620222942203,0.0,0.0018010263931965763,555.2389480673497,-0.03867223214826283,-0.08190528768411903
 0.7912727226113141,0.15652813038718053,0.3898314553398416,0.5132229781298024,-0.013588349592513604,0.0,0.0018334355236848553,545.4241434082127,-0.04064361141803637,-0.08490142998796002
 0.8133751991300725,0.1653948036399714,0.4011619804353464,0.5126359974136189,-0.014529497363659822,0.0,0.0018648700552597538,536.230391591929,-0.042581100373411306,-0.08765936042192311
 0.8344549541217626,0.17407876761458835,0.41195753831295834,0.512129191343432,-0.015467132053692406,0.0,0.0018950821432750585,527.6816118755738,-0.0444803409907853,-0.09009785066869613
 0.8545931886996391,0.18258237954295437,0.422262035705352,0.5116882193692392,-0.016400247486555435,0.0,0.001923810203714408,519.8017964917974,-0.04633551313818419,-0.09212188586962561
 0.8738603930990538,0.19090799665680835,0.432113395449673,0.5113019792648399,-0.017327757384915665,0.0,0.00195072767921297,512.6292155773658,-0.04813930859571941,-0.093619988667895
 0.8923182754773252,0.19905797618770704,0.44154466714409435,0.5109617398756349,-0.018248489680430097,0.0,0.0019755366805705673,506.1915629484458,-0.04988287803796589,-0.09446205184940443
 0.9100212642944476,0.20703467536701634,0.4505848849429424,0.5106605382987265,-0.019161180398989657,0.0,0.0019978249457594673,500.5443555615695,-0.05155574168791213,-0.09449611403065632
 0.9270176943854261,0.21484045142591796,0.45925973966996914,0.5103927519244897,-0.020064467125060992,0.0,0.0020171649993867085,495.7452664031135,-0.053145673605352384,-0.09354505086830993
 0.9433507546939152,0.22247766159539495,0.46759211226983555,0.5101537888484807,-0.020956882105531472,0.0,0.0020331002778851523,491.85965437976733,-0.05463856519323896,-0.09140305366475945
 0.959059253865447,0.2299486631062371,0.47560250213984057,0.5099398601059274,-0.021836844681363057,0.0,0.002045076152542776,488.97934620020635,-0.05601824631511098,-0.08783023169854322
 0.9741782448587797,0.23725581318903324,0.4833093746810561,0.5097478095339956,-0.02270265356561264,0.0,0.002052506095745387,487.2092716669086,-0.05726631391151645,-0.08254966200825586
 0.9887395391591772,0.24440146907417568,0.4907294460044906,0.5095749849127008,-0.023552478227182174,0.0,0.0020547236139226177,486.68346108648984,-0.0583618903675571,-0.07523894740666957
 1.0027721336212991,0.2513879879918533,0.4978779181951201,0.5094191391282172,-0.024384350093760675,0.0,0.0020510068664910818,487.56540816015263,-0.05928140151302512,-0.06552680959676063
 1.0163025674907118,0.2582177271720533,0.5047686752780007,0.5092783534797126,-0.025196152861513752,0.0,0.0020405284215234795,490.06913574543097,-0.05999828058642418,-0.05298271144280642
 1.0293552231267018,0.26489304384455564,0.5114144476543538,0.5091509775243562,-0.025985612458474378,0.0,0.0020223541889285764,494.47322604246204,-0.06048268022821743,-0.037111194480424645
